SINDy,HANDI,PSE,gEDMD,SR3
8.95521317e-02,2.81777758e-06,3.24326758e-02,1.09880137e-01,8.95832833e-02
9.57926456e-02,4.95372757e-06,3.91154385e-02,1.15906766e-01,9.57865429e-02
1.00023857e-01,4.44350872e-06,4.37207044e-02,1.20246249e-01,1.00041998e-01
1.00619631e-01,3.49646810e-05,4.73447184e-02,1.21001811e-01,1.00700738e-01
9.79024776e-02,1.58025627e-05,4.50069367e-02,1.17671137e-01,9.79931854e-02
9.49504359e-02,6.49002648e-06,4.20772429e-02,1.14417380e-01,9.50121210e-02
9.31286936e-02,3.35637087e-06,3.93437377e-02,1.12897382e-01,9.31781922e-02
9.33885239e-02,3.83540922e-06,3.83002388e-02,1.13295020e-01,9.34785448e-02
9.52116213e-02,7.60704756e-06,3.92040114e-02,1.15435696e-01,9.52888911e-02
9.81288882e-02,1.22457277e-05,4.14946799e-02,1.18247236e-01,9.81755175e-02
1.00404470e-01,1.55924412e-05,4.78760555e-02,1.19588004e-01,1.00488609e-01
9.90653290e-02,6.25421362e-06,4.64944258e-02,1.18101625e-01,9.91003677e-02
9.83360818e-02,4.36727002e-06,4.52441757e-02,1.17619015e-01,9.84085311e-02
9.84015771e-02,7.54697235e-06,4.45201724e-02,1.18094510e-01,9.85178263e-02
9.91168912e-02,1.75878042e-05,4.45430358e-02,1.19256171e-01,9.92259475e-02
1.00463643e-01,3.17765426e-05,4.51502172e-02,1.20899774e-01,1.00554584e-01
1.03277742e-01,2.28959544e-05,5.06619681e-02,1.25404029e-01,1.03357071e-01
1.02411352e-01,6.69817187e-06,5.00475363e-02,1.21156885e-01,1.02484217e-01
1.01766129e-01,2.66155768e-06,4.93828269e-02,1.20502632e-01,1.01791891e-01
1.01499217e-01,3.46978365e-06,4.87231503e-02,1.20662293e-01,1.01576035e-01
1.01529671e-01,1.23038796e-05,4.82223272e-02,1.21404312e-01,1.01650144e-01
1.01812956e-01,3.82143435e-05,4.79849450e-02,1.22493372e-01,1.01934552e-01
